age,worker,size,compartment,deposition.fraction
10y,FALSE,0.001,BBseq,0.0004593
10y,FALSE,0.003,BBseq,0.0007161
10y,FALSE,0.01,BBseq,0.0004704
10y,FALSE,0.03,BBseq,0.0001847
10y,FALSE,0.1,BBseq,8.491e-05
10y,FALSE,0.3,BBseq,5.442e-05
10y,FALSE,1,BBseq,8.169e-05
10y,FALSE,3,BBseq,0.0001116
10y,FALSE,5,BBseq,0.0001039
10y,FALSE,10,BBseq,7.294e-05
10y,FALSE,0.001,ET2,0.4426
10y,FALSE,0.003,ET2,0.3553
10y,FALSE,0.01,ET2,0.1789
10y,FALSE,0.03,ET2,0.07234
10y,FALSE,0.1,ET2,0.03378
10y,FALSE,0.3,ET2,0.06755
10y,FALSE,1,ET2,0.2285
10y,FALSE,3,ET2,0.3797
10y,FALSE,5,ET2,0.4039
10y,FALSE,10,ET2,0.3848
10y,FALSE,0.001,ETseq,0.0002214
10y,FALSE,0.003,ETseq,0.0001778
10y,FALSE,0.01,ETseq,8.95e-05
10y,FALSE,0.03,ETseq,3.619e-05
10y,FALSE,0.1,ETseq,1.69e-05
10y,FALSE,0.3,ETseq,3.379e-05
10y,FALSE,1,ETseq,0.0001143
10y,FALSE,3,ETseq,0.00019
10y,FALSE,5,ETseq,0.0002021
10y,FALSE,10,ETseq,0.0001925
10y,FALSE,0.001,ET1,0.4477
10y,FALSE,0.003,ET1,0.3396
10y,FALSE,0.01,ET1,0.1589
10y,FALSE,0.03,ET1,0.06455
10y,FALSE,0.1,ET1,0.03224
10y,FALSE,0.3,ET1,0.05894
10y,FALSE,1,ET1,0.1775
10y,FALSE,3,ET1,0.3098
10y,FALSE,5,ET1,0.3453
10y,FALSE,10,ET1,0.3504
5y,FALSE,0.001,AI1,1.293e-05
5y,FALSE,0.003,AI1,0.001848
5y,FALSE,0.01,AI1,0.04968
5y,FALSE,0.03,AI1,0.1246
5y,FALSE,0.1,AI1,0.0804
5y,FALSE,0.3,AI1,0.0426
5y,FALSE,1,AI1,0.02956
5y,FALSE,3,AI1,0.02058
5y,FALSE,5,AI1,0.01405
5y,FALSE,10,AI1,0.006204
5y,FALSE,0.001,AI2,2.587e-05
5y,FALSE,0.003,AI2,0.003697
5y,FALSE,0.01,AI2,0.09936
5y,FALSE,0.03,AI2,0.2492
5y,FALSE,0.1,AI2,0.1608
5y,FALSE,0.3,AI2,0.0852
5y,FALSE,1,AI2,0.05913
5y,FALSE,3,AI2,0.04117
5y,FALSE,5,AI2,0.0281
5y,FALSE,10,AI2,0.01241
5y,FALSE,0.001,AI3,4.311e-06
5y,FALSE,0.003,AI3,0.0006161
5y,FALSE,0.01,AI3,0.01656
5y,FALSE,0.03,AI3,0.04153
5y,FALSE,0.1,AI3,0.0268
5y,FALSE,0.3,AI3,0.0142
5y,FALSE,1,AI3,0.009855
5y,FALSE,3,AI3,0.006861
5y,FALSE,5,AI3,0.004684
5y,FALSE,10,AI3,0.002068
5y,FALSE,0.001,bb1,0.009968
5y,FALSE,0.003,bb1,0.06172
5y,FALSE,0.01,bb1,0.1384
5y,FALSE,0.03,bb1,0.0879
5y,FALSE,0.1,bb1,0.04228
5y,FALSE,0.3,bb1,0.01961
5y,FALSE,1,bb1,0.009274
5y,FALSE,3,bb1,0.006904
5y,FALSE,5,bb1,0.005745
5y,FALSE,10,bb1,0.003551
5y,FALSE,0.001,bb2,0.01011
5y,FALSE,0.003,bb2,0.0626
5y,FALSE,0.01,bb2,0.1404
5y,FALSE,0.03,bb2,0.08915
5y,FALSE,0.1,bb2,0.04288
5y,FALSE,0.3,bb2,0.01988
5y,FALSE,1,bb2,0.009107
5y,FALSE,3,bb2,0.005538
5y,FALSE,5,bb2,0.00389
5y,FALSE,10,bb2,0.001801
5y,FALSE,0.001,bbseq,0.0001415
5y,FALSE,0.003,bbseq,0.0008764
5y,FALSE,0.01,bbseq,0.001966
5y,FALSE,0.03,bbseq,0.001248
5y,FALSE,0.1,bbseq,0.0006004
5y,FALSE,0.3,bbseq,0.0002784
5y,FALSE,1,bbseq,0.0001296
5y,FALSE,3,bbseq,8.771e-05
5y,FALSE,5,bbseq,6.792e-05
5y,FALSE,10,bbseq,3.772e-05
5y,FALSE,0.001,BB1,0.03411
5y,FALSE,0.003,BB1,0.06
5y,FALSE,0.01,BB1,0.04272
5y,FALSE,0.03,BB1,0.01682
5y,FALSE,0.1,BB1,0.007711
5y,FALSE,0.3,BB1,0.004453
5y,FALSE,1,BB1,0.005367
5y,FALSE,3,BB1,0.00827
5y,FALSE,5,BB1,0.008572
5y,FALSE,10,BB1,0.006997
5y,FALSE,0.001,BB2,0.0346
5y,FALSE,0.003,BB2,0.06085
5y,FALSE,0.01,BB2,0.04333
5y,FALSE,0.03,BB2,0.01705
5y,FALSE,0.1,BB2,0.00782
5y,FALSE,0.3,BB2,0.004506
5y,FALSE,1,BB2,0.004911
5y,FALSE,3,BB2,0.005354
5y,FALSE,5,BB2,0.004277
5y,FALSE,10,BB2,0.00223
